FILE                                      IDX KIND  LABEL                EXPECT  VERDICT  COUNT NET0 
corpus/alloytools-models/models/book/chapter6/memory/checkCache.als    2 check LoadOK               -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/memory/checkCache.als    3 check FlushOK              -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/memory/checkFixedSize.als    0 check initOk               -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/memory/checkFixedSize.als    1 check readOk               -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/memory/checkFixedSize.als    2 check writeOk              -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/memory/fixedSizeMemory.als    0 run   Default              -       SAT         - -    
corpus/alloytools-models/models/book/chapter6/memory/fixedSizeMemory_H.als    0 run   Default              -       SAT         - -    
corpus/alloytools-models/models/book/chapter6/ringElection1.als    0 run   show                 -       SAT         - -    
corpus/alloytools-models/models/book/chapter6/ringElection1.als    1 check AtMostOneElected     -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/ringElection1.als    2 check AtLeastOneElected    -       SAT         - -    
corpus/alloytools-models/models/book/chapter6/ringElection2.als    0 run   show                 -       SAT         - -    
corpus/alloytools-models/models/book/chapter6/ringElection2.als    1 check AtMostOneElected     -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/ringElection2.als    2 check AtLeastOneElected    -       UNSAT       - -    
corpus/alloytools-models/models/book/chapter6/ringElection2.als    3 run   looplessPath         -       SAT         - -    
corpus/alloytools-models/models/book/chapter6/ringElection2.als    4 run   looplessPath         -       UNSAT       - -    
corpus/alloytools-models/models/examples/algorithms/dijkstra.als    0 run   Deadlock             sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/dijkstra.als    1 run   ShowDijkstra         sat     UNSAT       - MISMATCH
corpus/alloytools-models/models/examples/algorithms/dijkstra.als    2 check DijkstraPreventsDeadlocks unsat   UNSAT       - ok   
corpus/alloytools-models/models/examples/algorithms/messaging.als    0 run   SomeState            sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/messaging.als    1 run   OutOfOrder           sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/opt_spantree.als    0 run   SuccessfulRun        sat     SAT         - ok   
corpus/alloytools-models/models/examples/algorithms/opt_spantree.als    1 run   BadLivenessTrace     unsat   UNSAT       - ok   
